id,name,product_name,category,price,quantity,date,region,status,discount,total
1,Weeks-Clark,Optima Ultra,Clothing,328.85,14,2025-03-13,EU,Delivered,7.0%,4281.63
2,Perez LLC,Solar Max,Home,685.97,11,2025-03-13,Asia,Pending,10.0%,6791.1
3,Hurley Inc,Sonic Beam,cars,845.39,18,2025-03-13,EU,Delivered,4.0%,14608.34
4,Santana-Douglas,Fusion CoreStratos X,tools,447.7,15,2025-03-13,North America,Shipped,19.0%,5439.56
5,Randall-Mckinney,Pulse X,Toys,962.2,13,2025-03-13,North America,Delivered,11.0%,11132.65
6,Ramos PLC,Quantum Plus,Clothing,611.22,20,2025-03-13,US,Returned,14.0%,10512.98
7,Johnson Inc,Echo Ultra,Toys,932.12,16,2025-03-13,South America,Delivered,3.0%,14466.5
8,"Johnson, Mcdonald and Pierce",Pulse X,Toys,679.17,9,2025-03-13,US,Returned,1.0%,6051.4
9,"Khan, Banks and Reese",Alpha Pro,Toys,778.86,12,2025-03-13,Asia,Returned,0.0%,9346.32
10,Wood-Spears,Optima Ultra,Clothing,854.5,8,2025-03-13,US,Returned,20.0%,5468.8
11,"Nicholson, Wells and Thomas",Astra Prime,tools,45.67,18,2025-03-13,US,Delivered,20.0%,657.65
12,"Weber, Key and Nguyen",Quantum Plus,tools,374.33,17,2025-03-13,South America,Returned,30.0%,4454.53
13,Lewis-Warren,Spectrum Air,Electronics,790.98,13,2025-03-13,South America,Pending,25.0%,7712.06
14,Richardson and Sons,Vortex Max,cars,917.91,10,2025-03-13,EU,Returned,8.0%,8444.77
15,Hart-Butler,Solar Max,Clothing,345.81,1,2025-03-13,South America,Pending,17.0%,287.02
16,Lloyd and Sons,Alpha Pro,tools,836.02,3,2025-03-13,South America,Pending,2.0%,2457.9
17,Hayes LLC,Vision Lite,Toys,953.92,1,2025-03-13,North America,Pending,14.0%,820.37
18,Abbott-Ruiz,Sonic Beam,Clothing,607.67,15,2025-03-13,South America,Returned,21.0%,7200.89
19,"Simpson, Stephens and Fernandez",Cyber Shield,Clothing,831.02,6,2025-03-13,North America,Returned,27.0%,3639.87
20,Taylor-Jones,Solar Max,Clothing,706.84,20,2025-03-13,US,Shipped,11.0%,12581.75
